도서명,보유권수,작가,목표장르,기존서가
와!,1~3권,칸바 마유코/아오야마 고쇼,일상/개그,41
체리 쥬빌레,1~7권,미상,로맨스/로판,41
전설의 강도영,1~3권,미상,로맨스/로판,41
내 ID는 성형미인 2,1~8권,미상,로맨스/로판,41
난 나야,1~4권,미상,로맨스/로판,41
클릭,1~8권,미상,로맨스/로판,41
디어 다이어리,1~4권,미상,로맨스/로판,41
니가 세상의 전부다,1~9권,미상,로맨스/로판,41
루비돌,1~4권,미상,액션/모험,41
주희주리,1~9권,미상,로맨스/로판,41
소녀화첩,1~4권,미상,로맨스/로판,41
보통학교,1~10권,미상,로맨스/로판,41
연애 다이어리,1~4권,미상,로맨스/로판,41
비터 스위트 러브,1~10권,미상,로맨스/로판,41
용기의 별,1~4권,미상,로맨스/로판,41
챗,1~10권,미상,로맨스/로판,41
지구생활백서,1~4권,미상,로맨스/로판,41
트러블G,1~11권,미상,로맨스/로판,41
공주님과 건달님,1~5권,미상,로맨스/로판,41
사랑의 총알,1~12권,미상,로맨스/로판,41
나는 사슴이다 3,1~5권,미상,로맨스/로판,41
스노우 드롭,1~12권,미상,로맨스/로판,41
러브미,1~5권,미상,로맨스/로판,41
내 남친은 뱀파이어,1~14권,미상,로맨스/로판,41
마이걸,1~5권,미상,로맨스/로판,41
플라티나,1~14권,미상,액션/모험,41
사랑보다 아름다운 유혹,1~5권,미상,로맨스/로판,41
내 ID는 성형미인,1~15권,미상,로맨스/로판,41
시바토라,1~15권,미상,스릴러/추리/호러,41
안녕 PI,1~5권,미상,스릴러/추리/호러,41
물좋은 하숙집,1~17권,미상,로맨스/로판,41
퀸즈,1~5권,미상,액션/모험,41
크림,1~5권,미상,로맨스/로판,41
스위치 1/2,보유,나미키 사키,스릴러/추리/호러,41
목난아의 신혼일기,1~6권,미상,로맨스/로판,41
체크,보유,미상,로맨스/로판,41
비비,1~6권,미상,로맨스/로판,41
커플공식,보유,미상,로맨스/로판,41
선녀 파이팅,1~6권,미상,액션/모험,41
파랑새를 만난 적이 있나요!!,보유,미상,로맨스/로판,41
소년 X 파일,1~6권,미상,로맨스/로판,41
HOME 보이,보유,미상,로맨스/로판,41
DIY GIRL. 5(완결),보유,미상,로맨스/로판,41
END,1~7권,미상,로맨스/로판,41
MASCA,1~12권,미상,로맨스/로판,41
아이돌클럽,1~12권,미상,로맨스/로판,42
누님 VS 형님.,1~15권,미상,로맨스/로판,42
란제리,1~6권,미상,로맨스/로판,42
비타민,1~16권,미상,로맨스/로판,42
파라오의 연인,1~16권,미상,로맨스/로판,42
오해하지마,1~7권,미상,로맨스/로판,42
여왕의 기사,1~17권,미상,로맨스/로판,42
허쉬,1~7권,미상,로맨스/로판,42
나는 너를 바람이라 부른다,보유,미상,로맨스/로판,42
왕의 바다,보유,미상,로맨스/로판,42
아르카나,1~11권,미상,로맨스/로판,42
쿨식스,보유,미상,로맨스/로판,42
애인퍼즐,1~11권,미상,로맨스/로판,42
하니 와!와!,보유,미상,로맨스/로판,42
I WISH,1~7권,미상,로맨스/로판,42
PAPILLON 꽃과 나비.,1~8권,미상,로맨스/로판,42
오렌지 버블껌,1~4권,미상,로맨스/로판,43
왕따의 프로포즈,1~10권,미상,로맨스/로판,43
피터 판다,1~4권,미상,로맨스/로판,43
조강지처 길들이기,1~12권,한유랑,로맨스/로판,43
라이어 게임,1~19권,카이타니 시노부,판타지/무협,19
피안도,1~63권,미상,스릴러/추리/호러,19
암살교실,1~21권,유세이 마츠이,판타지/무협,19
미스터 맛짱,1~12권,미상,일상/개그,20
미스터 초밥왕,1~14권,테라사와 다이스케,드라마/스포츠/SF,20
미스터 요리왕,1~15권,스에다 유이치로,드라마/스포츠/SF,20
미스터 초밥왕 전국대회편,1~8권,미상,드라마/스포츠/SF,20
마사키의 빵,1~2권,미상,일상/개그,20
괴도 르 뱅,1~2권,미상,일상/개그,20
밥 짓는 세 바보,1~2권,미상,일상/개그,20
이세계 주점 노부,1~14권,미상,판타지/무협,20
옆집은 뭐 먹지,1~2권,미상,로맨스/로판,20
어제 뭐 먹었어?,1~25권,미상,드라마/스포츠/SF,20
오늘 뭐 먹지?,보유,미상,일상/개그,20
허영만 식객,1~2권,미상,일상/개그,20
식객,1~27권,허영만,드라마/스포츠/SF,20
식객 팔도를 간다,보유,웹툰 작가,웹툰,20
나노하 양과자점의 좋은 일,1~4권,미상,일상/개그,20
절대미각 식탐정,1~16권,미상,일상/개그,20
녹풍당의 사계절,1~4권,미상,로맨스/로판,20
심야식당,1~23권,아베 야로,드라마/스포츠/SF,20
고독한 미식가,보유,웹툰 작가,웹툰,20
신의 물방울 최종장 마리아주,1~4권,미상,일상/개그,20
신의 물방울,1~44권,기바야시 신,드라마/스포츠/SF,20
행복한 밥,1~4권,미상,일상/개그,20
어시장 삼대째,1~42권,미상,일상/개그,20
먹짱 GAMBLER,1~6권,미상,일상/개그,20
화려한 식탁,1~49권,미상,코믹스/그래픽노블,20
집에서 한잔,1~7권,미상,로맨스/로판,20
맛의 달인,1~111권,미상,로맨스/로판,20
다카스기 가의 도시락,1~10권,미상,일상/개그,20
에미야 가의 오늘의 밥상,1~7권,미상,일상/개그,20
던전밥,1~14권,쿠이 료코,드라마/스포츠/SF,20
밤비노!,1~15권,미상,로맨스/로판,20
미식과 장미의 나날,1~2권,미상,일상/개그,21
우에노 선배는 서툴러,1~8권,미상,일상/개그,21
히나코 노트,1~2권,미상,일상/개그,21
천사 1/2 방정식,1~8권,미상,로맨스/로판,21
히이라기 님은 자신을 찾고 있다,1~2권,미상,일상/개그,21
좋아한다고 말하게 하는 법,1~9권,미상,로맨스/로판,21
네볼에 키스,1~3권,미상,일상/개그,21
베리타스,1~10권,미상,액션/모험,21
라멘 너무 좋아 코이즈미 씨,1~3권,미상,일상/개그,21
와가츠마 님은 내 신부,1~13권,미상,일상/개그,21
아오바군에게 듣고 싶은 말,1~3권,미상,로맨스/로판,22
너와 나,1~15권,미상,로맨스/로판,22
연하의 그 아이,1~3권,미상,로맨스/로판,21
호리미야,1~16권,"히로, 하기와라 다이스케",로맨스/로판,21
지구의 끝은 사랑의 시작,1~3권,미상,일상/개그,21
해파리 공주,1~17권,미상,로맨스/로판,21
"좋아하지 않을 거야, 선배",1~4권,미상,로맨스/로판,22
